"CDSCode","NCESDist","NCESSchool","StatusType","County","District","School","Street","StreetAbr","City","Zip","State","MailStreet","MailStrAbr","MailCity","MailZip","MailState","Phone","Ext","Website","OpenDate","ClosedDate","Charter","CharterNum","FundingType","DOC","DOCType","SOC","SOCType","EdOpsCode","EdOpsName","EILCode","EILName","GSoffered","GSserved","Virtual","Magnet","Latitude","Longitude","AdmFName1","AdmLName1","AdmEmail1","AdmFName2","AdmLName2","AdmEmail2","AdmFName3","AdmLName3","AdmEmail3","LastUpdate","NAVICAT_ROWID"
"01100170000000","0691051",,"Active","Alameda","Alameda County Office of Education",,"313 West Winton Avenue","313 West Winton Ave.","Hayward","94544-1136","CA","313 West Winton Avenue","313 West Winton Ave.","Hayward","94544-1136","CA","(510) 887-0152",,"www.acoe.org",,,,,,"00","County Office of Education (COE)",,,,,,,,,,,"37.658212","-122.09713","L Karen","Monroe","lkmonroe@acoe.org",,,,,,,"2015-06-23","1"
"01100170109835","0691051","10546","Closed","Alameda","Alameda County Office of Education","FAME Public Charter","39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335","Newark","94560-5359","CA","39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335","Newark","94560-5359","CA",,,,"2005-08-29","2015-07-31","1","0728","Directly funded","00","County Office of Education (COE)","65","K-12 Schools (Public)","TRAD","Traditional","ELEMHIGH","Elementary-High Combination","K-12","K-12","P","0","37.521436","-121.99391",,,,,,,,,,"2015-09-01","2"
"01100170112607","0691051","10947","Active","Alameda","Alameda County Office of Education","Envision Academy for Arts & Technology","1515 Webster Street","1515 Webster St.","Oakland","94612-3355","CA","1515 Webster Street","1515 Webster St.","Oakland","94612","CA","(510) 596-8901",,"www.envisionacademy.org/","2006-08-28",,"1","0811","Directly funded","00","County Office of Education (COE)","66","High Schools (Public)","TRAD","Traditional","HS","High School","9-12","9-12","N","0","37.80452","-122.26815","Laura","Robell","laura@envisionacademy.org",,,,,,,"2015-06-18","3"
"01100170118489","0691051","12283","Closed","Alameda","Alameda County Office of Education","Aspire California College Preparatory Academy","2125 Jefferson Avenue","2125 Jefferson Ave.","Berkeley","94703-1414","CA","1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100","Oakland","94606","CA",,,"www.aspirepublicschools.org","2008-08-21","2015-06-30","1","1049","Directly funded","00","County Office of Education (COE)","66","High Schools (Public)","TRAD","Traditional","HS","High School","9-12","9-12","N","0","37.868991","-122.27844",,,,,,,,,,"2015-07-01","4"
"01100170123968","0691051","12844","Active","Alameda","Alameda County Office of Education","Community School for Creative Education","2111 International Boulevard","2111 International Blvd.","Oakland","94606-4903","CA","2111 International Boulevard","2111 International Blvd.","Oakland","94606-4903","CA","(510) 686-4131",,"www.communityschoolforcreativeeducation.org","2011-08-22",,"1","1284","Directly funded","00","County Office of Education (COE)","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-8","K-7","N","0","37.784648","-122.23863","Clifford","Thompson","cliffordt@communityschoolforcreativeeducation.org",,,,,,,"2016-07-18","5"
"01100170124172","0691051","12901","Active","Alameda","Alameda County Office of Education","Yu Ming Charter","1086 Alcatraz Avenue","1086 Alcatraz Ave.","Oakland","94608-1265","CA","1086 Alcatraz Avenue","1086 Alcatraz Ave.","Oakland","94608-1265","CA","(510) 452-2063",,"www.yumingschool.org","2011-08-09",,"1","1296","Directly funded","00","County Office of Education (COE)","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-8","K-5","N","0","37.847375","-122.28356","Sue","Park","spark@yumingschool.org",,,,,,,"2016-05-10","6"
"01100170125567","0691051","13008","Active","Alameda","Alameda County Office of Education","Urban Montessori Charter","5328 Brann Street","5328 Brann St.","Oakland","94619-3312","CA","5328 Brann Street","5328 Brann St.","Oakland","94619-3312","CA","(510) 842-1181",,"www.urbanmontessori.org","2012-08-27",,"1","1383","Directly funded","00","County Office of Education (COE)","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-8","K-5","N","0","37.778352","-122.1895","David","Castillo","davidc@urbanmontessori.org",,,,,,,"2015-10-09","7"
"01100170130302","0691051",,"Closed","Alameda","Alameda County Office of Education","Technical, Agricultural & Nat.","597 C Street","597 C St.","Hayward","94541","CA","597 C Street","597 C St.","Hayward","94541","CA",,,,"1980-07-01","1989-06-30","0",,,"00","County Office of Education (COE)","10","County Community",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","8"
"01100170130401","0691051","09264","Active","Alameda","Alameda County Office of Education","Alameda County Juvenile Hall/Court","2500 Fairmont Avenue","2500 Fairmont Ave.","San Leandro","94578-1005","CA","2500 Fairmont Avenue","2500 Fairmont Ave.","San Leandro","94578-1005","CA","(510) 667-7435",,"www.acoe.org","1980-07-01",,"0",,,"00","County Office of Education (COE)","14","Juvenile Court Schools","JUV","Juvenile Court School","HS","High School","K-12","8-12","N","0","37.712878","-122.11173","Michael","Hermosillo","mhermosillo@acoe.org",,,,,,,"2016-05-10","9"
"01100170130419","0691051","06830","Active","Alameda","Alameda County Office of Education","Alameda County Community","313 West Winton Avenue","313 West Winton Ave.","Hayward","94544-1136","CA","313 West Winton Avenue","313 West Winton Ave.","Hayward","94544-1136","CA","(510) 670-4590",,"www.acoe.org","1980-07-01",,"0",,,"00","County Office of Education (COE)","10","County Community","COMM","County Community School","HS","High School","K-12","7-12","P","0","37.658212","-122.09713","Carolyn","Hobbs","chobbs@acoe.org",,,,,,,"2016-10-06","10"
